Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Ghana,  2003, Standard DHS, DHS-IV, DHS-IV, Ghana_Standard-DHS_2003.cfm, Ghana_Standard-DHS_2003.cfm, Ghana_Standard-DHS_2003.cfm, Not Applicable
Ghana,  2002, MCH SPA, DHS-IV, --, Not Applicable, Not Distributed, Not Collected, Ghana_MCH-SPA_2002.cfm
Ghana,  1998, Standard DHS, DHS-IV, DHS-III, Ghana_Standard-DHS_1998.cfm, Ghana_Standard-DHS_1998.cfm, Not Collected, Not Applicable
Ghana,  1993, Standard DHS, DHS-III, DHS-II, Ghana_Standard-DHS_1993.cfm, Ghana_Standard-DHS_1993.cfm, Not Collected, Not Applicable
Ghana,  1988, Standard DHS, DHS-I, DHS-I, Ghana_Standard-DHS_1988.cfm, Not Collected, Not Collected, Not Applicable
Guatemala,  1998-99, Interim DHS, DHS-IV, DHS-III, Guatemala_Interim-DHS_1999.cfm, Not Collected, Not Collected, Not Applicable
Guatemala,  1997, In Depth, DHS-III, --, Not In Public Domain, Not Collected, Not Collected, Not Applicable
Guatemala,  1997, MCH SPA, DHS-III, --, Not Applicable, Not Distributed, Not Collected, Guatemala_MCH-SPA_1997.cfm
Guatemala,  1995, Standard DHS, DHS-III, DHS-III, Guatemala_Standard-DHS_1995.cfm, Not Collected, Not Collected, Not Applicable
Guatemala,  1987, Standard DHS, DHS-I, DHS-I, Guatemala_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Guinea,  2012, Standard DHS, DHS-VI, DHS-VI, Guinea_Standard-DHS_2012.cfm, Guinea_Standard-DHS_2012.cfm, Guinea_Standard-DHS_2012.cfm, Not Applicable
Guinea,  2005, Standard DHS, DHS-V, DHS-IV, Guinea_Standard-DHS_2005.cfm, Guinea_Standard-DHS_2005.cfm, Guinea_Standard-DHS_2005.cfm, Not Applicable
Guinea,  1999, Standard DHS, DHS-IV, DHS-III, Guinea_Standard-DHS_1999.cfm, Guinea_Standard-DHS_1999.cfm, Not Collected, Not Applicable
Guinea,  1992, Standard DHS, Other, --, Not In Public Domain, Not Collected, Not Collected, Not Applicable
Guyana,  2009, Standard DHS, DHS-V, DHS-V, Guyana_Standard-DHS_2009.cfm, Guyana_Standard-DHS_2009.cfm, Not Collected, Not Applicable
Guyana,  2005, Standard AIS, DHS-V, DHS-V, Guyana_Standard-AIS_2005.cfm, Not Collected, Not Collected, Not Applicable
Guyana,  2004, HIV SPA, DHS-V, --, Not Applicable, Not Distributed, Not Collected, Guyana_HIV-SPA_2004.cfm
Haiti,  2013, HIV/MCH SPA, DHS-VI, --, Not Applicable, Haiti_HIV-MCH-SPA_2013.cfm, Not Collected, Haiti_HIV-MCH-SPA_2013.cfm
Haiti,  2013, Special, DHS-VI, --, Ongoing, Not Collected, Not Collected, Not Applicable
Haiti,  2012, Standard DHS, DHS-VI, DHS-VI, Haiti_Standard-DHS_2012.cfm, Haiti_Standard-DHS_2012.cfm, Haiti_Standard-DHS_2012.cfm, Not Applicable
Haiti,  2005-06, Standard DHS, DHS-V, DHS-V, Haiti_Standard-DHS_2006.cfm, Haiti_Standard-DHS_2006.cfm, Haiti_Standard-DHS_2006.cfm, Not Applicable
Haiti,  2000, Standard DHS, DHS-IV, DHS-IV, Haiti_Standard-DHS_2000.cfm, Haiti_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Haiti,  1994-95, Standard DHS, DHS-III, DHS-III, Haiti_Standard-DHS_1994.cfm, Not Collected, Not Collected, Not Applicable
Honduras,  2011-12, Standard DHS, DHS-VI, DHS-VI, Honduras_Standard-DHS_2011.cfm, Honduras_Standard-DHS_2011.cfm, Not Yet Available, Not Applicable
Honduras,  2005-06, Standard DHS, DHS-V, DHS-V, Honduras_Standard-DHS_2005.cfm, Not Collected, Not Collected, Not Applicable
India,  2005-06, Standard DHS, DHS-V, DHS-V, India_Standard-DHS_2006.cfm, Not Collected, India_Standard-DHS_2006.cfm, Not Applicable
India,  1998-99, Standard DHS, DHS-IV, DHS-III, India_Standard-DHS_1999.cfm, Not Collected, Not Collected, Not Applicable
India,  1992-93, Standard DHS, DHS-II, DHS-II, India_Standard-DHS_1993.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  2012, Standard DHS, DHS-VI, DHS-VI, Indonesia_Standard-DHS_2012.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  2012, Special, DHS-VI, --, Indonesia_Special_2012.cfm, Not Collected, Not Yet Available, Not Applicable
Indonesia,  2007, Standard DHS, DHS-V, DHS-V, Indonesia_Standard-DHS_2007.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  2007, Special, DHS-V, --, Indonesia_Special_2007.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  2002-03, Standard DHS, DHS-IV, DHS-IV, Indonesia_Standard-DHS_2003.cfm, Indonesia_Standard-DHS_2003.cfm, Not Collected, Not Applicable
Indonesia,  2002-03, Special, DHS-IV, --, Indonesia_Special_2002.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  1997, Standard DHS, DHS-III, DHS-III, Indonesia_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  1994, Standard DHS, DHS-III, DHS-III, Indonesia_Standard-DHS_1994.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  1991, Standard DHS, DHS-II, DHS-II, Indonesia_Standard-DHS_1991.cfm, Not Collected, Not Collected, Not Applicable
Indonesia,  1987, Standard DHS, DHS-I, DHS-I, Indonesia_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Jordan,  2012, Standard DHS, DHS-VI, DHS-VI, Jordan_Standard-DHS_2012.cfm, Jordan_Standard-DHS_2012.cfm, Not Yet Available, Not Applicable
Jordan,  2009, Interim DHS, DHS-VI, DHS-V, Jordan_Interim-DHS_2009.cfm, Not Collected, Not Collected, Not Applicable
Jordan,  2007, Standard DHS, DHS-V, DHS-V, Jordan_Standard-DHS_2007.cfm, Jordan_Standard-DHS_2007.cfm, Not Collected, Not Applicable
Jordan,  2002, Standard DHS, DHS-IV, DHS-IV, Jordan_Standard-DHS_2002.cfm, Jordan_Standard-DHS_2002.cfm, Not Collected, Not Applicable
Jordan,  1997, Standard DHS, DHS-III, DHS-III, Jordan_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Jordan,  1990, Standard DHS, DHS-II, DHS-II, Jordan_Standard-DHS_1990.cfm, Not Collected, Not Collected, Not Applicable
Kazakhstan,  1999, Standard DHS, DHS-IV, DHS-III, Kazakhstan_Standard-DHS_1999.cfm, Not Collected, Not Collected, Not Applicable
Kazakhstan,  1995, Standard DHS, DHS-III, DHS-III, Kazakhstan_Standard-DHS_1995.cfm, Not Collected, Not Collected, Not Applicable
Kenya,  2014, Standard DHS, DHS-VII, DHS-VI, Kenya_Standard-DHS_2014.cfm, Kenya_Standard-DHS_2014.cfm, Not Collected, Not Applicable
Kenya,  2010, HIV/MCH SPA, DHS-VI, --, Not Applicable, Kenya_HIV-MCH-SPA_2010.cfm, Not Collected, Kenya_HIV-MCH-SPA_2010.cfm
Kenya,  2010, MIS, DHS-VI, --, Not In Public Domain, Not In Public Domain, Not Collected, Not Applicable
Kenya,  2008-09, Standard DHS, DHS-V, DHS-V, Kenya_Standard-DHS_2008.cfm, Kenya_Standard-DHS_2008.cfm, Kenya_Standard-DHS_2008.cfm, Not Applicable
Kenya,  2004, HIV/MCH SPA, DHS-V, --, Not Applicable, Not Distributed, Not Collected, Kenya_HIV-MCH-SPA_2004.cfm
Kenya,  2003, Standard DHS, DHS-IV, DHS-IV, Kenya_Standard-DHS_2003.cfm, Kenya_Standard-DHS_2003.cfm, Kenya_Standard-DHS_2003.cfm, Not Applicable
Kenya,  1999, MCH SPA, DHS-IV, --, Not Applicable, Not Distributed, Not Collected, Kenya_MCH-SPA_1999.cfm
Kenya,  1998, Standard DHS, DHS-III, DHS-III, Kenya_Standard-DHS_1998.cfm, Not Distributed, Not Collected, Not Applicable
Kenya,  1993, Standard DHS, DHS-III, DHS-II, Kenya_Standard-DHS_1993.cfm, Not Collected, Not Collected, Not Applicable
Kenya,  1989, Standard DHS, DHS-I, DHS-I, Kenya_Standard-DHS_1989.cfm, Not Collected, Not Collected, Not Applicable
Kyrgyz Republic,  2012, Standard DHS, DHS-VI, DHS-VI, Kyrgyz-Republic_Standard-DHS_2012.cfm, Kyrgyz-Republic_Standard-DHS_2012.cfm, Not Collected, Not Applicable
Kyrgyz Republic,  1997, Standard DHS, DHS-III, DHS-III, Kyrgyz-Republic_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Lao People's Democratic Republic,  2011-12, Special, DHS-VI, --, Not Distributed, Not Collected, Not Collected, Not Applicable
Lesotho,  2009, Standard DHS, DHS-VI, DHS-V, Lesotho_Standard-DHS_2009.cfm, Lesotho_Standard-DHS_2009.cfm, Lesotho_Standard-DHS_2009.cfm, Not Applicable
Lesotho,  2004, Standard DHS, DHS-IV, DHS-IV, Lesotho_Standard-DHS_2004.cfm, Lesotho_Standard-DHS_2004.cfm, Lesotho_Standard-DHS_2004.cfm, Not Applicable
Liberia,  2013, Standard DHS, DHS-VI, DHS-VI, Liberia_Standard-DHS_2013.cfm, Liberia_Standard-DHS_2013.cfm, Liberia_Standard-DHS_2013.cfm, Not Applicable
Liberia,  2011, MIS, DHS-VI, DHS-VI, Liberia_MIS_2011.cfm, Liberia_MIS_2011.cfm, Not Collected, Not Applicable
Liberia,  2009, MIS, DHS-V, DHS-V, Liberia_MIS_2009.cfm, Liberia_MIS_2009.cfm, Not Collected, Not Applicable
Liberia,  2007, Standard DHS, DHS-V, DHS-V, Liberia_Standard-DHS_2007.cfm, Liberia_Standard-DHS_2007.cfm, Liberia_Standard-DHS_2007.cfm, Not Applicable
Liberia,  1986, Standard DHS, DHS-I, DHS-I, Liberia_Standard-DHS_1986.cfm, Liberia_Standard-DHS_1986.cfm, Not Collected, Not Applicable
Madagascar,  2013, MIS, DHS-VI, DHS-VI, Madagascar_MIS_2013.cfm, Madagascar_MIS_2013.cfm, Not Collected, Not Applicable
Madagascar,  2011, MIS, DHS-VI, DHS-VI, Madagascar_MIS_2011.cfm, Madagascar_MIS_2011.cfm, Not Collected, Not Applicable
Madagascar,  2008-09, Standard DHS, DHS-V, DHS-V, Madagascar_Standard-DHS_2008.cfm, Madagascar_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Madagascar,  2003-04, Standard DHS, DHS-IV, DHS-IV, Madagascar_Standard-DHS_2004.cfm, Not Distributed, Not Collected, Not Applicable
Madagascar,  1997, Standard DHS, DHS-III, DHS-III, Madagascar_Standard-DHS_1997.cfm, Madagascar_Standard-DHS_1997.cfm, Not Collected, Not Applicable
Madagascar,  1992, Standard DHS, DHS-II, DHS-II, Madagascar_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Malawi,  2014, MIS, DHS-VII, DHS-VI, Malawi_MIS_2014.cfm, Malawi_MIS_2014.cfm, Not Collected, Not Applicable
Malawi,  2013-14, HIV/MCH SPA, DHS-VI, --, Not Applicable, Malawi_HIV-MCH-SPA_2013.cfm, Not Collected, Malawi_HIV-MCH-SPA_2013.cfm
Malawi,  2012, MIS, DHS-VI, DHS-VI, Malawi_MIS_2012.cfm, Malawi_MIS_2012.cfm, Not Collected, Not Applicable
Malawi,  2010, Standard DHS, DHS-VI, DHS-V, Malawi_Standard-DHS_2010.cfm, Malawi_Standard-DHS_2010.cfm, Malawi_Standard-DHS_2010.cfm, Not Applicable
Malawi,  2004, Standard DHS, DHS-IV, DHS-IV, Malawi_Standard-DHS_2004.cfm, Malawi_Standard-DHS_2004.cfm, Malawi_Standard-DHS_2004.cfm, Not Applicable
Malawi,  2000, Standard DHS, DHS-IV, DHS-IV, Malawi_Standard-DHS_2000.cfm, Malawi_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Malawi,  1996, KAP, DHS-III, --, Malawi_KAP_1996.cfm, Not Collected, Not Collected, Not Applicable
Malawi,  1992, Standard DHS, DHS-II, DHS-II, Malawi_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Maldives,  2009, Standard DHS, DHS-V, DHS-V, Maldives_Standard-DHS_2009.cfm, Not Collected, Not Collected, Not Applicable
Mali,  2012-13, Standard DHS, DHS-VI, DHS-VI, Mali_Standard-DHS_2012.cfm, Mali_Standard-DHS_2012.cfm, Mali_Standard-DHS_2012.cfm, Not Applicable
Mali,  2010, Special, DHS-VI, DHS-V, Mali_Special_2010.cfm, Mali_Special_2010.cfm, Not Collected, Not Applicable
Mali,  2006, Standard DHS, DHS-V, DHS-V, Mali_Standard-DHS_2006.cfm, Mali_Standard-DHS_2006.cfm, Mali_Standard-DHS_2006.cfm, Not Applicable
Mali,  2001, Standard DHS, DHS-IV, DHS-IV, Mali_Standard-DHS_2001.cfm, Mali_Standard-DHS_2001.cfm, Mali_Standard-DHS_2001.cfm, Not Applicable
Mali,  1995-96, Standard DHS, DHS-III, DHS-III, Mali_Standard-DHS_1996.cfm, Mali_Standard-DHS_1996.cfm, Not Collected, Not Applicable
Mali,  1987, Standard DHS, DHS-I, DHS-I, Mali_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Mauritania,  2003-04, Special, Other, --, Restricted Data, Not Collected, Not Collected, Not Applicable
Mauritania,  2000-01, Standard DHS, Other, DHS-III, Restricted Data, Not Collected, Not Collected, Not Applicable
Mexico,  1987, Standard DHS, DHS-I, DHS-I, Mexico_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Moldova,  2005, Standard DHS, DHS-V, DHS-IV, Moldova_Standard-DHS_2005.cfm, Moldova_Standard-DHS_2005.cfm, Not Collected, Not Applicable
Morocco,  2003-04, Standard DHS, DHS-IV, DHS-IV, Morocco_Standard-DHS_2003.cfm, Morocco_Standard-DHS_2003.cfm, Not Collected, Not Applicable
Morocco,  1995, Special DHS, DHS-III, --, Morocco_Special-DHS_1995.cfm, Not Collected, Not Collected, Not Applicable
Morocco,  1992, Standard DHS, DHS-II, DHS-II, Morocco_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Morocco,  1987, Standard DHS, DHS-I, DHS-I, Morocco_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Mozambique,  2011, Standard DHS, DHS-VI, DHS-VI, Mozambique_Standard-DHS_2011.cfm, Mozambique_Standard-DHS_2011.cfm, Not Collected, Not Applicable
Mozambique,  2009, Standard AIS, DHS-V, DHS-V, Mozambique_Standard-AIS_2009.cfm, Mozambique_Standard-AIS_2009.cfm, Mozambique_Standard-AIS_2009.cfm, Not Applicable
Mozambique,  2003, Standard DHS, DHS-IV, DHS-IV, Mozambique_Standard-DHS_2003.cfm, Not Collected, Not Collected, Not Applicable
Mozambique,  1997, Standard DHS, DHS-III, DHS-III, Mozambique_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Namibia,  2013, Standard DHS, DHS-VI, DHS-VI, Namibia_Standard-DHS_2013.cfm, Namibia_Standard-DHS_2013.cfm, Namibia_Standard-DHS_2013.cfm, Not Applicable
Namibia,  2009, HIV/MCH SPA, DHS-VI, --, Not Applicable, Namibia_HIV-MCH-SPA_2009.cfm, Not Collected, Namibia_HIV-MCH-SPA_2009.cfm
Namibia,  2006-07, Standard DHS, DHS-V, DHS-V, Namibia_Standard-DHS_2006.cfm, Namibia_Standard-DHS_2006.cfm, Not Collected, Not Applicable
Namibia,  2000, Standard DHS, DHS-IV, DHS-IV, Namibia_Standard-DHS_2000.cfm, Namibia_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Namibia,  1992, Standard DHS, DHS-II, DHS-II, Namibia_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Nepal,  2011, Standard DHS, DHS-VI, DHS-VI, Nepal_Standard-DHS_2011.cfm, Nepal_Standard-DHS_2011.cfm, Not Collected, Not Applicable
Nepal,  2006, Standard DHS, DHS-V, DHS-V, Nepal_Standard-DHS_2006.cfm, Nepal_Standard-DHS_2006.cfm, Not Collected, Not Applicable
Nepal,  2001, Standard DHS, DHS-IV, DHS-IV, Nepal_Standard-DHS_2001.cfm, Nepal_Standard-DHS_2001.cfm, Not Collected, Not Applicable
Nepal,  1996, Standard DHS, DHS-III, DHS-III, Nepal_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Nepal,  1987, In Depth, DHS-I, --, Nepal_In-Depth_1987.cfm, Not Collected, Not Collected, Not Applicable
Nicaragua,  2001, Standard DHS, DHS-IV, DHS-IV, Nicaragua_Standard-DHS_2001.cfm, Not Collected, Not Collected, Not Applicable
Nicaragua,  1998, Standard DHS, DHS-III, DHS-III, Nicaragua_Standard-DHS_1998.cfm, Not Collected, Not Collected, Not Applicable
Niger,  2012, Standard DHS, DHS-VI, DHS-VI, Niger_Standard-DHS_2012.cfm, Not Distributed, Niger_Standard-DHS_2012.cfm, Not Applicable
Niger,  2006, Standard DHS, DHS-V, DHS-V, Niger_Standard-DHS_2006.cfm, Not Distributed, Niger_Standard-DHS_2006.cfm, Not Applicable
Niger,  1998, Standard DHS, DHS-III, DHS-III, Niger_Standard-DHS_1998.cfm, Niger_Standard-DHS_1998.cfm, Not Collected, Not Applicable
Niger,  1992, Standard DHS, DHS-II, DHS-II, Niger_Standard-DHS_1992.cfm, Niger_Standard-DHS_1992.cfm, Not Collected, Not Applicable
Nigeria,  2013, Standard DHS, DHS-VI, DHS-VI, Nigeria_Standard-DHS_2013.cfm, Nigeria_Standard-DHS_2013.cfm, Not Collected, Not Applicable
Nigeria,  2010, MIS, DHS-VI, DHS-VI, Nigeria_MIS_2010.cfm, Nigeria_MIS_2010.cfm, Not Collected, Not Applicable
Nigeria,  2008, Standard DHS, DHS-V, DHS-V, Nigeria_Standard-DHS_2008.cfm, Nigeria_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Nigeria,  2003, Standard DHS, DHS-IV, DHS-IV, Nigeria_Standard-DHS_2003.cfm, Nigeria_Standard-DHS_2003.cfm, Not Collected, Not Applicable
Nigeria,  1999, Standard DHS, DHS-IV, DHS-IV, Not Distributed, Not Collected, Not Collected, Not Applicable
Nigeria,  1990, Standard DHS, DHS-II, DHS-II, Nigeria_Standard-DHS_1990.cfm, Nigeria_Standard-DHS_1990.cfm, Not Collected, Not Applicable
Pakistan,  2012-13, Standard DHS, DHS-VI, DHS-VI, Pakistan_Standard-DHS_2012.cfm, Not Distributed, Not Collected, Not Applicable
Pakistan,  2006-07, Standard DHS, DHS-V, DHS-V, Pakistan_Standard-DHS_2006.cfm, Pakistan_Standard-DHS_2006.cfm, Not Collected, Not Applicable
Pakistan,  1990-91, Standard DHS, DHS-II, DHS-II, Pakistan_Standard-DHS_1991.cfm, Not Collected, Not Collected, Not Applicable
Paraguay,  1990, Standard DHS, DHS-II, DHS-II, Paraguay_Standard-DHS_1990.cfm, Not Collected, Not Collected, Not Applicable
Peru,  2014, Continuous DHS, DHS-VII, --, Not Distributed, Not Distributed, Not Collected, Not Applicable
Peru,  2013, Continuous DHS, DHS-VI, --, Not Distributed, Not Distributed, Not Collected, Not Applicable
Peru,  2012, Continuous DHS, DHS-VI, DHS-V, Peru_Continuous-DHS_2012.cfm, Not Yet Available, Not Collected, Not Yet Available
Peru,  2011, Continuous DHS, DHS-VI, DHS-V, Peru_Continuous-DHS_2011.cfm, Not Yet Available, Not Collected, Not Yet Available
Peru,  2010, Continuous DHS, DHS-VI, DHS-V, Peru_Continuous-DHS_2010.cfm, Not Yet Available, Not Collected, Not Applicable
Peru,  2009, Continuous DHS, DHS-V, DHS-V, Peru_Continuous-DHS_2009.cfm, Peru_Continuous-DHS_2009.cfm, Not Collected, Not Applicable
Peru,  2007-08, Continuous DHS, DHS-V, DHS-V, Peru_Continuous-DHS_2007.cfm, Peru_Continuous-DHS_2007.cfm, Not Collected, Not Applicable
Peru,  2004-06, Continuous DHS, DHS-V, DHS-V, Peru_Continuous-DHS_2004.cfm, Peru_Continuous-DHS_2004.cfm, Not Collected, Not Applicable
Peru,  2000, Standard DHS, DHS-IV, DHS-IV, Peru_Standard-DHS_2000.cfm, Peru_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Peru,  1996, Standard DHS, DHS-III, DHS-III, Peru_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Peru,  1991-92, Standard DHS, DHS-II, DHS-II, Peru_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Peru,  1986, Standard DHS, DHS-I, DHS-I, Peru_Standard-DHS_1986.cfm, Not Collected, Not Collected, Not Applicable
Peru,  1986, Experimental, DHS-I, --, Peru_Experimental_1986.cfm, Not Collected, Not Collected, Not Applicable
Philippines,  2013, Standard DHS, DHS-VI, DHS-VI, Philippines_Standard-DHS_2013.cfm, Not Collected, Not Collected, Not Applicable
Philippines,  2008, Standard DHS, DHS-V, DHS-V, Philippines_Standard-DHS_2008.cfm, Philippines_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Philippines,  2003, Standard DHS, DHS-IV, DHS-IV, Philippines_Standard-DHS_2003.cfm, Philippines_Standard-DHS_2003.cfm, Not Collected, Not Applicable
Philippines,  1998, Standard DHS, DHS-III, DHS-III, Philippines_Standard-DHS_1998.cfm, Not Collected, Not Collected, Not Applicable
Philippines,  1993, Standard DHS, DHS-III, DHS-II, Philippines_Standard-DHS_1993.cfm, Not Collected, Not Collected, Not Applicable
Philippines,  1993, In Depth, DHS-III, --, Philippines_In-Depth_1993.cfm, Not Collected, Not Collected, Not Applicable
Rwanda,  2013, MIS, DHS-VI, DHS-VI, Rwanda_MIS_2013.cfm, Not Collected, Not Collected, Not Applicable
Rwanda,  2011, Special, DHS-VI, --, Rwanda_Special_2011.cfm, Not Collected, Not Collected, Not Applicable
Rwanda,  2010, Standard DHS, DHS-VI, DHS-VI, Rwanda_Standard-DHS_2010.cfm, Rwanda_Standard-DHS_2010.cfm, Rwanda_Standard-DHS_2010.cfm, Not Applicable
Rwanda,  2007-08, Interim DHS, DHS-V, DHS-V, Rwanda_Interim-DHS_2008.cfm, Rwanda_Interim-DHS_2008.cfm, Not Collected, Not Applicable
Rwanda,  2007, HIV/MCH SPA, DHS-V, --, Not Applicable, Not Collected, Not Collected, Rwanda_HIV-MCH-SPA_2007.cfm
Rwanda,  2005, Standard DHS, DHS-V, DHS-IV, Rwanda_Standard-DHS_2005.cfm, Rwanda_Standard-DHS_2005.cfm, Rwanda_Standard-DHS_2005.cfm, Not Applicable
Rwanda,  2001, MCH SPA, DHS-IV, --, Not Applicable, Not Distributed, Not Collected, Rwanda_MCH-SPA_2001.cfm
Rwanda,  2000, Standard DHS, DHS-IV, DHS-IV, Rwanda_Standard-DHS_2000.cfm, Not Distributed, Not Collected, Not Applicable
Rwanda,  1992, Standard DHS, DHS-II, DHS-II, Rwanda_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Samoa,  2009, Standard DHS, DHS-V, DHS-V, Not In Public Domain, Not Collected, Not Collected, Not Applicable
Sao Tome and Principe,  2014, MICS, DHS-VII, --, Not Yet Available, Not Yet Available, Not Yet Available, Not Applicable
Sao Tome and Principe,  2008-09, Standard DHS, DHS-V, DHS-V, Sao-Tome-and-Principe_Standard-DHS_2008.cfm, Not Collected, Sao-Tome-and-Principe_Standard-DHS_2008.cfm, Not Applicable
Senegal,  2014, Continuous DHS, DHS-VII, DHS-VI, Senegal_Continuous-DHS_2014.cfm, Not Yet Available, Not Collected, Not Applicable
Senegal,  2014, HIV/MCH SPA, DHS-VII, --, Not Applicable, Not Applicable, Not Applicable, Senegal_HIV-MCH-SPA_2014.cfm
Senegal,  2012-13, Continuous DHS, DHS-VI, DHS-VI, Senegal_Continuous-DHS_2012.cfm, Senegal_Continuous-DHS_2012.cfm, Not Collected, Not Applicable
Senegal,  2012-13, HIV/MCH SPA, DHS-VI, --, Not Applicable, Senegal_HIV-MCH-SPA_2012.cfm, Not Collected, Senegal_HIV-MCH-SPA_2012.cfm
Senegal,  2010-11, Standard DHS, DHS-VI, DHS-VI, Senegal_Standard-DHS_2010.cfm, Senegal_Standard-DHS_2010.cfm, Senegal_Standard-DHS_2010.cfm, Not Applicable
Senegal,  2008-09, MIS, DHS-V, DHS-V, Senegal_MIS_2008.cfm, Senegal_MIS_2008.cfm, Not Collected, Not Applicable
Senegal,  2006, MIS, DHS-V, DHS-V, Senegal_MIS_2006.cfm, Not Collected, Not Collected, Not Applicable
Senegal,  2005, Standard DHS, DHS-IV, DHS-IV, Senegal_Standard-DHS_2005.cfm, Senegal_Standard-DHS_2005.cfm, Senegal_Standard-DHS_2005.cfm, Not Applicable
Senegal,  1999, Standard DHS, DHS-IV, --, Senegal_Standard-DHS_1999.cfm, Not Collected, Not Collected, Not Applicable
Senegal,  1997, Standard DHS, DHS-III, DHS-II, Senegal_Standard-DHS_1997.cfm, Senegal_Standard-DHS_1997.cfm, Not Collected, Not Applicable
Senegal,  1992-93, Standard DHS, DHS-II, DHS-II, Senegal_Standard-DHS_1993.cfm, Senegal_Standard-DHS_1993.cfm, Not Collected, Not Applicable
Senegal,  1986, Standard DHS, DHS-I, DHS-I, Senegal_Standard-DHS_1986.cfm, Not Collected, Not Collected, Not Applicable
Sierra Leone,  2013, MIS, DHS-VI, --, Not Distributed, Not Distributed, Not Collected, Not Applicable
Sierra Leone,  2013, Standard DHS, DHS-VI, DHS-VI, Sierra-Leone_Standard-DHS_2013.cfm, Sierra-Leone_Standard-DHS_2013.cfm, Sierra-Leone_Standard-DHS_2013.cfm, Not Applicable
Sierra Leone,  2008, Standard DHS, DHS-V, DHS-V, Sierra-Leone_Standard-DHS_2008.cfm, Sierra-Leone_Standard-DHS_2008.cfm, Sierra-Leone_Standard-DHS_2008.cfm, Not Applicable
South Africa,  2003, Standard DHS, DHS-IV, --, Not In Public Domain, Not Distributed, Not Collected, Not Applicable
South Africa,  1998, Standard DHS, DHS-III, DHS-III, South-Africa_Standard-DHS_1998.cfm, Not Collected, Not Collected, Not Applicable
Sri Lanka,  2006-07, Standard DHS, DHS-IV, --, Not In Public Domain, Not Distributed, Not Collected, Not Applicable
Sri Lanka,  1987, Standard DHS, DHS-I, DHS-I, Sri-Lanka_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Sudan,  1989-90, Standard DHS, DHS-I, DHS-I, Sudan_Standard-DHS_1990.cfm, Not Collected, Not Collected, Not Applicable
Swaziland,  2006-07, Standard DHS, DHS-V, DHS-V, Swaziland_Standard-DHS_2006.cfm, Swaziland_Standard-DHS_2006.cfm, Swaziland_Standard-DHS_2006.cfm, Not Applicable
