Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Yemen,  2013, Standard DHS, DHS-VI, DHS-VI, Yemen_Standard-DHS_2013.cfm, Not Distributed, Not Collected, Not Applicable
Yemen,  1997, Standard DHS, DHS-III, DHS-III, Restricted Data, Not Collected, Not Collected, Not Applicable
Yemen,  1991-92, Standard DHS, DHS-II, DHS-II, Yemen_Standard-DHS_1991.cfm, Not Collected, Not Collected, Not Applicable
Zambia,  2013-14, Standard DHS, DHS-VI, DHS-VI, Zambia_Standard-DHS_2013.cfm, Zambia_Standard-DHS_2013.cfm, Zambia_Standard-DHS_2013.cfm, Not Applicable
Zambia,  2007, Standard DHS, DHS-V, DHS-V, Zambia_Standard-DHS_2007.cfm, Zambia_Standard-DHS_2007.cfm, Zambia_Standard-DHS_2007.cfm, Not Applicable
Zambia,  2005, HIV SPA, DHS-V, --, Not Applicable, Not Distributed, Not Collected, Zambia_HIV-SPA_2005.cfm
Zambia,  2001-02, Standard DHS, DHS-IV, DHS-IV, Zambia_Standard-DHS_2002.cfm, Not Distributed, Zambia_Standard-DHS_2002.cfm, Not Applicable
Zambia,  1996, Standard DHS, DHS-III, DHS-III, Zambia_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Zambia,  1992, Standard DHS, DHS-II, DHS-II, Zambia_Standard-DHS_1992.cfm, Not Collected, Not Collected, Not Applicable
Zimbabwe,  2010-11, Standard DHS, DHS-VI, DHS-VI, Zimbabwe_Standard-DHS_2010.cfm, Zimbabwe_Standard-DHS_2010.cfm, Zimbabwe_Standard-DHS_2010.cfm, Not Applicable
Zimbabwe,  2005-06, Standard DHS, DHS-V, DHS-V, Zimbabwe_Standard-DHS_2005.cfm, Zimbabwe_Standard-DHS_2005.cfm, Zimbabwe_Standard-DHS_2005.cfm, Not Applicable
Zimbabwe,  1999, Standard DHS, DHS-IV, DHS-IV, Zimbabwe_Standard-DHS_1999.cfm, Zimbabwe_Standard-DHS_1999.cfm, Not Collected, Not Applicable
Zimbabwe,  1994, Standard DHS, DHS-III, DHS-III, Zimbabwe_Standard-DHS_1994.cfm, Not Collected, Not Collected, Not Applicable
Zimbabwe,  1988, Standard DHS, DHS-I, DHS-I, Zimbabwe_Standard-DHS_1988.cfm, Not Collected, Not Collected, Not Applicable
