Country, Survey, Tag, Type, Phase, Manual, Births, Children, Couples, GPS, HIV, Household, Members, Men, Women
Cameroon, 1998, Cameroon_III.DHS.III, Standard DHS, DHS-III, DHS-III, cmbr31, cmkr31, cmcr31, , , cmhr31, cmpr31, cmmr31, cmir31
Cameroon, 2004, Cameroon_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, cmbr44, cmkr44, cmcr44, cmge42, , cmhr44, cmpr45, cmmr44, cmir44
Cameroon, 2011, Cameroon_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, cmbr60, cmkr60, cmcr60, cmge61, , cmhr60, cmpr60, cmmr60, cmir60
Central African Republic, 1994-95, Central_African_Republic_III.DHS.III, Standard DHS, DHS-III, DHS-III, cfbr31, cfkr31, cfcr31, cfge33, , cfhr31, cfpr31, cfmr31, cfir31
Chad, 1996-97, Chad_III.DHS.III, Standard DHS, DHS-III, DHS-III, tdbr31, tdkr31, tdcr31, , , tdhr31, tdpr31, tdmr31, tdir31
Chad, 2004, Chad_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, tdbr41, tdkr41, tdcr41, , , tdhr41, tdpr41, tdmr41, tdir41
Chad, 2014-15, Chad_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, tdbr71, tdkr71, tdcr71, tdge71, , tdhr71, tdpr71, tdmr71, tdir71
Colombia, 1986, Colombia_I.DHS.I, Standard DHS, DHS-I, DHS-I, cobr01, cokr01, , , , cohh02, , , coir01
Colombia, 1990, Colombia_II.DHS.II, Standard DHS, DHS-II, DHS-II, cobr22, cokr22, , , , cohr22, copr22, , coir22
Colombia, 1995, Colombia_III.DHS.III, Standard DHS, DHS-III, DHS-III, cobr31, cokr31, , , , cohr31, copr31, , coir31
Colombia, 2000, Colombia_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, cobr41, cokr41, , , , cohr41, copr41, , coir41
Colombia, 2005, Colombia_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, cobr53, cokr53, , , , cohr53, copr53, , coir53
Colombia, 2010, Colombia_VI.DHS.V, Standard DHS, DHS-VI, DHS-V, cobr61, cokr61, , coge61, , cohr61, copr61, , coir61
Comoros, 1996, Comoros_III.DHS.III, Standard DHS, DHS-III, DHS-III, kmbr32, kmkr31, kmcr31, , , kmhr32, kmpr32, kmmr31, kmir32
Comoros, 2012, Comoros_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, kmbr61, kmkr61, kmcr61, kmge61, , kmhr61, kmpr61, kmmr61, kmir61
Congo Brazzaville, 2005, Congo_Brazzaville_V.DHS.V, Standard DHS, DHS-V, DHS-V, cgbr51, cgkr51, cgcr51, , , cghr51, cgpr51, cgmr51, cgir51
Congo Brazzaville, 2009, Congo_Brazzaville_V.AIS.V, Standard AIS, DHS-V, DHS-V, , , , , , cghr5h, cgpr5h, , cgir5h
Congo Brazzaville, 2011-12, Congo_Brazzaville_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, cgbr60, cgkr60, cgcr60, , , cghr60, cgpr60, cgmr60, cgir60
Congo Kinshasa, 2007, Congo_Kinshasa_V.DHS.V, Standard DHS, DHS-V, DHS-V, cdbr50, cdkr50, cdcr50, cdge52, , cdhr50, cdpr50, cdmr50, cdir50
Congo Kinshasa, 2013-14, Congo_Kinshasa_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, cdbr61, cdkr61, cdcr61, cdge61, , cdhr61, cdpr61, cdmr61, cdir61
Dominican Republic, 1986, Dominican_Republic_I.DHS.I, Standard DHS, DHS-I, DHS-I, drbr01, drkr01, , , , drhh01, , , drir01
Dominican Republic, 1991, Dominican_Republic_II.DHS.II, Standard DHS, DHS-II, DHS-II, drbr21, drkr21, , , , drhr21, drpr21, , drir21
Dominican Republic, 1996, Dominican_Republic_III.DHS.III, Standard DHS, DHS-III, DHS-III, drbr32, drkr31, drcr31, , , drhr32, drpr32, drmr31, drir32
Dominican Republic, 1999, Dominican_Republic_IVb.DHS.IV, Standard DHS, DHS-IV, DHS-IV, drbr41, drkr41, drcr41, , , drhr41, drpr41, drmr41, drir41
Dominican Republic, 2002, Dominican_Republic_IVa.DHS.IV, Standard DHS, DHS-IV, DHS-IV, drbr4a, drkr4a, drcr4a, , , drhr4a, drpr4a, drmr4a, drir4a
Dominican Republic, 2007, Dominican_Republic_V.DHS.V, Standard DHS, DHS-V, DHS-V, drbr52, drkr52, drcr52, drge52, , drhr52, drpr52, drmr52, drir52
Dominican Republic, 2013, Dominican_Republic_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, drbr61, drkr61, drcr61, drge61, , drhr61, drpr61, drmr61, drir61
Ecuador, 1987, Ecuador_I.DHS.I, Standard DHS, DHS-I, DHS-I, ecbr01, eckr01, , , , echh01, , , ecir01
Egypt, 1988, Egypt_I.DHS.I, Standard DHS, DHS-I, DHS-I, egbr01, egkr01, , , , eghh02, , , egir01
Egypt, 1992, Egypt_II.DHS.II, Standard DHS, DHS-II, DHS-II, egbr21, egkr21, , egge22, , eghr21, egpr21, , egir21
Egypt, 1995, Egypt_III.DHS.III, Standard DHS, DHS-III, DHS-III, egbr33, egkr33, , egge32, , eghr33, egpr33, , egir33..egws39
Egypt, 2000, Egypt_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, egbr42, egkr42, , egge42, , eghr42, egpr42, , egir42
Egypt, 2005, Egypt_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, egbr51, egkr51, , egge52, , eghr51, egpr51, , egir51
Egypt, 2008, Egypt_V.DHS.V, Standard DHS, DHS-V, DHS-V, egbr5a, egkr5a, , egob5a..egge5d, , eghh5a..eghr5a, egpr5a..egpq5a, , egir5a..egiq5a
Egypt, 2014, Egypt_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, egbr61, egkr61, , egge61, , eghr61, egpr61, , egir61
El Salvador, 1985, El_Salvador_I.DHS.I, Standard DHS, DHS-I, DHS-I, esbr01, , , , , , , , esir01
Ethiopia, 2000, Ethiopia_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, etbr41, etkr41, etcr41, etge42, , ethr41, etpr41, etmr41, etir41
Ethiopia, 2005, Ethiopia_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, etbr51, etkr51, etcr51, etge52, , ethr51, etpr51, etmr51, etir51
